category,make,model,trim,kbb_true_price,trim_url
COMPACT,Buick,Verano,,,
COMPACT,Chevrolet,Spark,"LS Manual, 5-Spd","$12,548 - $13,123",https://www.kbb.com/chevrolet/spark/2016/ls/?vehicleid=414482&intent=buy-new&category=hatchback
COMPACT,Chevrolet,Spark,"1LT Manual, 5-Spd","$14,426 - $15,087",https://www.kbb.com/chevrolet/spark/2016/1lt/?vehicleid=414479&intent=buy-new&category=hatchback
COMPACT,Chevrolet,Spark,"2LT Manual, 5-Spd","$15,900 - $16,625",https://www.kbb.com/chevrolet/spark/2016/2lt/?vehicleid=414475&intent=buy-new&category=hatchback
COMPACT,Chevrolet,Sonic,"Sedan LS 4-Cyl, 1.8 L Manual, 5-Spd","$14,126 - $14,821",https://www.kbb.com/chevrolet/sonic/2016/ls/?vehicleid=414542&intent=buy-new&category=sedan
COMPACT,Chevrolet,Sonic,"Sedan LT 4-Cyl, 1.8 L Manual, 5-Spd","$15,787 - $16,564",https://www.kbb.com/chevrolet/sonic/2016/lt/?vehicleid=414544&intent=buy-new&category=sedan
COMPACT,Chevrolet,Sonic,"Sedan RS 4-Cyl, Turbo, 1.4 L Manual, 6-Spd","$19,319 - $20,274",https://www.kbb.com/chevrolet/sonic/2016/rs/?vehicleid=414562&intent=buy-new&category=sedan
COMPACT,Chevrolet,Sonic,"Hatchback Sedan LS 4-Cyl, 1.8 L Manual, 5-Spd","$14,692 - $15,411",https://www.kbb.com/chevrolet/sonic/2016/ls/?vehicleid=414554&intent=buy-new&category=hatchback
COMPACT,Chevrolet,Sonic,"Hatchback Sedan LT 4-Cyl, 1.8 L Manual, 5-Spd","$16,409 - $17,212",https://www.kbb.com/chevrolet/sonic/2016/lt/?vehicleid=414559&intent=buy-new&category=hatchback
COMPACT,Chevrolet,Sonic,"Hatchback Sedan RS 4-Cyl, Turbo, 1.4 L Manual, 6-Spd","$19,301 - $20,256",https://www.kbb.com/chevrolet/sonic/2016/rs/?vehicleid=414551&intent=buy-new&category=hatchback
COMPACT,Chevrolet,Cruze,"L Manual, 6-Spd (1SM)","$15,929 - $16,855",https://www.kbb.com/chevrolet/cruze/2016/l/?vehicleid=414914&intent=buy-new&category=sedan
COMPACT,Chevrolet,Cruze,"LS Manual, 6-Spd (1SA)","$17,388 - $18,393",https://www.kbb.com/chevrolet/cruze/2016/ls/?vehicleid=414915&intent=buy-new&category=sedan
COMPACT,Chevrolet,Cruze,"LT Manual, 6-Spd (1SC)","$19,334 - $20,427",https://www.kbb.com/chevrolet/cruze/2016/lt/?vehicleid=414908&intent=buy-new&category=sedan
COMPACT,Dodge,Dart,"SE 4-Cyl, Tigershark, 2.0 L Manual, 6-Spd (N/A After 4/11/2016)","$16,468 - $17,376",https://www.kbb.com/dodge/dart/2016/se/?vehicleid=410591&intent=buy-new&category=sedan
COMPACT,Dodge,Dart,"SXT Sport 4-Cyl, Tigershark, 2.0 L Manual, 6-Spd","$17,465 - $18,424",https://www.kbb.com/dodge/dart/2016/sxt-sport/?vehicleid=420269&intent=buy-new&category=sedan
COMPACT,Dodge,Dart,"SXT Sport Rallye 4-Cyl, Tigershark, 2.0 L Manual, 6-Spd","$18,360 - $19,367",https://www.kbb.com/dodge/dart/2016/sxt-sport-rallye/?vehicleid=420260&intent=buy-new&category=sedan
COMPACT,Dodge,Dart,"SXT 4-Cyl, MultiAir, Tigershark, 2.4 L Manual, 6-Spd (N/A After 4/11/2016)","$18,665 - $19,692",https://www.kbb.com/dodge/dart/2016/sxt/?vehicleid=410593&intent=buy-new&category=sedan
COMPACT,Dodge,Dart,"Turbo 4-Cyl, MultiAir, Turbo, 1.4 L Manual, 6-Spd","$18,817 - $19,850",https://www.kbb.com/dodge/dart/2016/turbo/?vehicleid=420217&intent=buy-new&category=sedan
COMPACT,Dodge,Dart,"SXT Sport Blacktop 4-Cyl, Tigershark, 2.0 L Manual, 6-Spd","$18,903 - $19,940",https://www.kbb.com/dodge/dart/2016/sxt-sport-blacktop/?vehicleid=420257&intent=buy-new&category=sedan
COMPACT,Dodge,Dart,"GT Sport 4-Cyl, MultiAir, Tigershark, 2.4 L Manual, 6-Spd","$20,375 - $21,484",https://www.kbb.com/dodge/dart/2016/gt-sport/?vehicleid=420261&intent=buy-new&category=sedan
COMPACT,Dodge,Dart,"Aero 4-Cyl, MultiAir, Turbo, 1.4 L Manual, 6-Spd (N/A After 4/11/2016)","$20,650 - $21,761",https://www.kbb.com/dodge/dart/2016/aero/?vehicleid=410592&intent=buy-new&category=sedan
COMPACT,Dodge,Dart,"GT Sport Blacktop 4-Cyl, MultiAir, Tigershark, 2.4 L Manual, 6-Spd","$21,200 - $22,337",https://www.kbb.com/dodge/dart/2016/gt-sport-blacktop/?vehicleid=420231&intent=buy-new&category=sedan
COMPACT,Dodge,Dart,"GT 4-Cyl, MultiAir, Tigershark, 2.4 L Manual, 6-Spd (N/A After 4/11/2016)","$21,252 - $22,413",https://www.kbb.com/dodge/dart/2016/gt/?vehicleid=410595&intent=buy-new&category=sedan
COMPACT,Fiat,500,,,
COMPACT,Fiat,500L,"Pop Manual, 6-Spd","$18,153 - $19,321",https://www.kbb.com/fiat/500l/2016/pop/?vehicleid=415345&intent=buy-new&category=hatchback
COMPACT,Fiat,500L,"Easy Manual, 6-Spd","$19,309 - $20,552",https://www.kbb.com/fiat/500l/2016/easy/?vehicleid=415367&intent=buy-new&category=hatchback
COMPACT,Fiat,500L,"Trekking Manual, 6-Spd","$20,462 - $21,767",https://www.kbb.com/fiat/500l/2016/trekking/?vehicleid=415348&intent=buy-new&category=hatchback
COMPACT,Fiat,500L,"Urbana Trekking Manual, 6-Spd","$21,683 - $23,080",https://www.kbb.com/fiat/500l/2016/urbana-trekking/?vehicleid=415342&intent=buy-new&category=hatchback
COMPACT,Ford,Fiesta,"Sedan S 4-Cyl, 1.6 L Manual, 5-Spd","$13,837 - $14,564",https://www.kbb.com/ford/fiesta/2016/s/?vehicleid=409974&intent=buy-new&category=sedan
COMPACT,Ford,Fiesta,"Sedan SE 4-Cyl, 1.6 L Manual, 5-Spd","$15,021 - $15,810",https://www.kbb.com/ford/fiesta/2016/se/?vehicleid=409978&intent=buy-new&category=sedan
COMPACT,Ford,Fiesta,"Sedan Titanium 4-Cyl, 1.6 L Manual, 5-Spd","$17,476 - $18,399",https://www.kbb.com/ford/fiesta/2016/titanium/?vehicleid=409980&intent=buy-new&category=sedan
COMPACT,Ford,Fiesta,"Hatchback S 4-Cyl, 1.6 L Manual, 5-Spd","$14,077 - $14,820",https://www.kbb.com/ford/fiesta/2016/s/?vehicleid=409976&intent=buy-new&category=hatchback
COMPACT,Ford,Fiesta,"Hatchback SE 4-Cyl, 1.6 L Manual, 5-Spd","$15,252 - $16,053",https://www.kbb.com/ford/fiesta/2016/se/?vehicleid=409977&intent=buy-new&category=hatchback
COMPACT,Ford,Fiesta,"Hatchback Titanium 4-Cyl, 1.6 L Manual, 5-Spd","$17,930 - $18,865",https://www.kbb.com/ford/fiesta/2016/titanium/?vehicleid=409979&intent=buy-new&category=hatchback
COMPACT,Ford,Fiesta,"Hatchback ST 4-Cyl, EcoBoost, Turbo, 1.6 L Manual, 6-Spd","$20,765 - $21,446",https://www.kbb.com/ford/fiesta/2016/st/?vehicleid=409981&intent=buy-new&category=hatchback
